Dimension,Property,Correlation,P_Value,Abs_Correlation
3561,is_prime,-0.04035686176504335,0.20226700495712643,0.04035686176504335
734,is_prime,-0.040348132343767974,0.20236471140715373,0.040348132343767974
41,is_prime,-0.04029924537161568,0.20291252704746623,0.04029924537161568
171,is_prime,-0.04026862103934818,0.20325624492039102,0.04026862103934818
851,is_prime,0.04025360288798477,0.20342495854368034,0.04025360288798477
270,is_prime,0.040215110106549136,0.203857850520454,0.040215110106549136
3555,is_prime,-0.04021075113666199,0.20390691390334745,0.04021075113666199
1759,is_prime,-0.04018644230281318,0.20418068490229488,0.04018644230281318
2362,is_prime,0.04012785802852742,0.2048415698718149,0.04012785802852742
3044,is_prime,-0.04011515603090407,0.2049850648380851,0.04011515603090407
2933,is_prime,0.04008422997037515,0.20533474285922707,0.04008422997037515
356,is_prime,-0.04007412011787346,0.2054491478363427,0.04007412011787346
657,is_prime,-0.040030858432923824,0.2059392276077958,0.040030858432923824
1772,is_prime,0.040020839405689325,0.20605284662182557,0.040020839405689325
3414,is_prime,-0.039999213513518206,0.2062982462063359,0.039999213513518206
3274,is_prime,-0.03999883135574698,0.20630258464240475,0.03999883135574698
546,is_prime,-0.0399103200837317,0.20730918941738977,0.0399103200837317
1365,is_prime,-0.03990348695286239,0.20738704769370983,0.03990348695286239
2297,is_prime,0.039897427940159345,0.20745610320577662,0.039897427940159345
1699,is_prime,-0.039891481808063754,0.2075238883925498,0.039891481808063754
203,is_prime,-0.03988563481971725,0.20759055899536247,0.03988563481971725
3498,is_prime,-0.03981729284393386,0.20837098275851632,0.03981729284393386
1761,is_prime,0.039762052095641376,0.2090033487664038,0.039762052095641376
3815,is_prime,-0.039754674891897955,0.2090879039468793,0.039754674891897955
990,is_prime,0.03969617482383109,0.2097592894835039,0.03969617482383109
210,is_prime,0.03965532597596318,0.21022902110663366,0.03965532597596318
1263,is_prime,-0.03964089784674822,0.21039511547577716,0.03964089784674822
3612,is_prime,0.03958962353428394,0.21098614450198794,0.03958962353428394
3094,is_prime,0.039583800093059854,0.21105334591987043,0.039583800093059854
48,is_prime,-0.03954436146925102,0.21150886704992483,0.03954436146925102
3784,is_prime,0.039521247861755746,0.2117761617677555,0.039521247861755746
2708,is_prime,0.03950809769421342,0.2119283441568676,0.03950809769421342
3244,is_prime,-0.039499013990326806,0.21203351282265517,0.039499013990326806
1017,is_prime,-0.03944967217506212,0.21260543680940633,0.03944967217506212
2760,is_prime,0.039399936597753066,0.21318304987447928,0.039399936597753066
151,is_prime,0.039384944979529685,0.21335737937269558,0.039384944979529685
3558,is_prime,-0.03935723294257701,0.21367989822933345,0.03935723294257701
3563,is_prime,-0.03934036285536245,0.21387640797291516,0.03934036285536245
3401,is_prime,0.039337474126481274,0.21391007012942623,0.039337474126481274
1509,is_prime,-0.03932009039502387,0.2141127221252799,0.03932009039502387
2792,is_prime,-0.039312701187529386,0.21419890416163795,0.039312701187529386
2021,is_prime,-0.039306890726072914,0.21426669046003743,0.039306890726072914
3608,is_prime,-0.039240533734440336,0.21504192345784998,0.039240533734440336
2525,is_prime,0.039226579166528025,0.2152052078935155,0.039226579166528025
228,is_prime,-0.03916419489373944,0.21593626616361625,0.03916419489373944
835,is_prime,-0.039156113093802306,0.21603110428344438,0.039156113093802306
2711,is_prime,0.039149330693301294,0.2161107173486167,0.039149330693301294
3502,is_prime,0.03912150017126066,0.21643761797822839,0.03912150017126066
1368,is_prime,0.03909642338253018,0.21673247717247576,0.03909642338253018
2599,is_prime,0.03908555352279236,0.21686037734682956,0.03908555352279236
1548,is_prime,0.03907664465188231,0.2169652439780963,0.03907664465188231
3799,is_prime,0.03905413913020289,0.21723031949629035,0.03905413913020289
2314,is_prime,0.03898101506911917,0.21809319789310871,0.03898101506911917
3874,is_prime,-0.038893867600043056,0.21912476441090134,0.038893867600043056
3041,is_prime,0.03888740274373452,0.21920142820833222,0.03888740274373452
2226,is_prime,-0.03888682223601758,0.2192083131267132,0.03888682223601758
317,is_prime,-0.03888219571407045,0.2192631899904562,0.03888219571407045
3456,is_prime,-0.03887741682279459,0.21931988450226417,0.03887741682279459
655,is_prime,0.038856854159133446,0.2195639501333638,0.038856854159133446
1579,is_prime,-0.0387602123113032,0.22071363427743385,0.0387602123113032
143,is_prime,0.038755710345870636,0.22076729605561807,0.038755710345870636
3891,is_prime,0.03874561395120556,0.2208876753426178,0.03874561395120556
3012,is_prime,0.03873854379347529,0.2209720007838835,0.03873854379347529
950,is_prime,-0.03873124632574941,0.221059061504997,0.03873124632574941
1195,is_prime,0.03871762100455344,0.2212216809026625,0.03871762100455344
2376,is_prime,-0.038684073655153896,0.22162243629596942,0.038684073655153896
3371,is_prime,-0.03863013041643155,0.22226792878132645,0.03863013041643155
2577,is_prime,0.03862238635060465,0.22236070560471174,0.03862238635060465
943,is_prime,-0.03861929274550139,0.22239777589651577,0.03861929274550139
3968,is_prime,0.03860266559460045,0.22259709270275058,0.03860266559460045
2762,is_prime,-0.038594867260753105,0.22269061865649611,0.038594867260753105
758,is_prime,0.03858635633243846,0.2227927228536378,0.03858635633243846
57,is_prime,0.03857010319933167,0.22298780194308365,0.03857010319933167
3884,is_prime,-0.03856010956250458,0.22310781167677385,0.03856010956250458
2243,is_prime,0.03855693576905029,0.2231459341922739,0.03855693576905029
3439,is_prime,0.03853282811552366,0.22343565897407436,0.03853282811552366
454,is_prime,0.03852667097490405,0.22350969828993034,0.03852667097490405
188,is_prime,0.038424478260137285,0.22474112041352193,0.038424478260137285
3187,is_prime,-0.03838892601546936,0.2251706576996961,0.03838892601546936
2196,is_prime,0.03838186774969156,0.2252560042969978,0.03838186774969156
518,is_prime,0.038371601098497965,0.22538018697960255,0.038371601098497965
563,is_prime,-0.03836189257565972,0.22549766358935636,0.03836189257565972
1138,is_prime,0.03835515337230444,0.22557923603389501,0.03835515337230444
3394,is_prime,0.03831020215105478,0.22612387128211153,0.03831020215105478
3396,is_prime,-0.03830751790737562,0.22615642357269408,0.03830751790737562
1256,is_prime,0.03830625293993366,0.22617176521065918,0.03830625293993366
718,is_prime,-0.038295550924071955,0.22630158988972762,0.038295550924071955
1424,is_prime,0.03825117267841095,0.22684050279623602,0.03825117267841095
90,is_prime,-0.03823210024311521,0.22707239191490194,0.03823210024311521
2644,is_prime,-0.038217065191565716,0.227255312081373,0.038217065191565716
364,is_prime,0.03821243035697069,0.2273117217743333,0.03821243035697069
711,is_prime,-0.038195115135475716,0.22752255021986548,0.038195115135475716
998,is_prime,0.038189002869611625,0.22759700579384456,0.038189002869611625
3158,is_prime,0.03818186120835557,0.22768402274367752,0.03818186120835557
890,is_prime,0.03815305739450381,0.22803522058446601,0.03815305739450381
2547,is_prime,-0.03813673874472852,0.2282343607981896,0.03813673874472852
1735,is_prime,0.038127994780036326,0.22834111627698217,0.038127994780036326
3486,is_prime,-0.038079852401965326,0.22892952485584628,0.038079852401965326
1932,is_prime,-0.038069458310114324,0.22905670546699833,0.038069458310114324
78,is_prime,-0.038064401725876,0.2291185952567303,0.038064401725876
3529,is_prime,-0.038057072119331944,0.2292083266764167,0.038057072119331944
2218,is_prime,0.0380244662536512,0.22960780088783006,0.0380244662536512
2158,is_prime,-0.03801142787545348,0.22976768030076705,0.03801142787545348
3801,is_prime,0.0379880219883252,0.23005488669429922,0.0379880219883252
4080,is_prime,-0.03790836875515302,0.23103419647883786,0.03790836875515302
94,is_prime,0.03780137558982214,0.23235429077821937,0.03780137558982214
2917,is_prime,0.037787661524689764,0.23252388221592998,0.037787661524689764
3269,is_prime,0.03777009393216879,0.23274125540557714,0.03777009393216879
727,is_prime,-0.03774001617196461,0.23311375770490528,0.03774001617196461
927,is_prime,-0.03770927655465039,0.23349489288829958,0.03770927655465039
1233,is_prime,0.037697562748275966,0.23364024635505676,0.037697562748275966
2327,is_prime,0.03768042116443203,0.2338530670668164,0.03768042116443203
3441,is_prime,-0.03767063006410587,0.2339746896583495,0.03767063006410587
3508,is_prime,-0.03765180439391418,0.23420866315669564,0.03765180439391418
2649,is_prime,0.03761730695844146,0.23463784153648012,0.03761730695844146
391,is_prime,-0.0375829785779072,0.23506546850770413,0.0375829785779072
3454,is_prime,-0.03756658761638085,0.23526984413219956,0.03756658761638085
3034,is_prime,0.03756522190443569,0.23528687858788647,0.03756522190443569
2773,is_prime,0.03754221735908672,0.2355739441265474,0.03754221735908672
4060,is_prime,-0.03753323916776264,0.23568604689432365,0.03753323916776264
1199,is_prime,-0.03752688806070204,0.23576537033220157,0.03752688806070204
2204,is_prime,-0.03752338420808019,0.2358091404811959,0.03752338420808019
3336,is_prime,-0.03752241254733722,0.23582127948991,0.03752241254733722
720,is_prime,0.03748862135170027,0.236243709322035,0.03748862135170027
2730,is_prime,0.03747470285776787,0.23641786221171074,0.03747470285776787
2758,is_prime,0.037471242362351,0.23646117516348622,0.037471242362351
196,is_prime,-0.0374614588868216,0.23658365938486237,0.0374614588868216
2009,is_prime,-0.03744517822834598,0.23678758435720984,0.03744517822834598
2227,is_prime,-0.03738777494866977,0.23750758450101914,0.03738777494866977
2560,is_prime,-0.037378319760222725,0.23762632738799003,0.037378319760222725
297,is_prime,-0.0373583014595056,0.23787786515999035,0.0373583014595056
3823,is_prime,0.037256465031083146,0.2391603865780275,0.037256465031083146
1792,is_prime,0.03724099645811605,0.239355622050801,0.03724099645811605
3294,is_prime,-0.03724018885260906,0.23936581826707762,0.03724018885260906
3869,is_prime,0.03723138518741967,0.23947698652500168,0.03723138518741967
945,is_prime,-0.037223543139498806,0.23957604257325832,0.037223543139498806
1615,is_prime,0.037221996114347684,0.23959558707380801,0.037221996114347684
3032,is_prime,0.037180127344910406,0.24012496680861342,0.037180127344910406
2088,is_prime,0.03717917365962741,0.24013703458079227,0.03717917365962741
3875,is_prime,0.037172205264936725,0.24022522442004535,0.037172205264936725
2579,is_prime,-0.037149597481946045,0.24051149839738914,0.037149597481946045
812,is_prime,-0.037111729360146783,0.24099154587568658,0.037111729360146783
2182,is_prime,-0.03710388593071789,0.24109105980957732,0.03710388593071789
1854,is_prime,-0.03709440435665803,0.24121139636129904,0.03709440435665803
264,is_prime,0.0370705564596628,0.2415142515000438,0.0370705564596628
